1,172
2,96
3,157
4,115
5,169
6,102
7,149
8,65
9,68
10,124
11,98
12,140
13,1
14,111
15,71
16,
17,135
18,142
19,109
20,62
21,3
22,178
23,
24,63
25,156
26,128
27,155
28,66
29,101
30,124
31,62
32,62
33,113
34,69
35,150
36,98
37,
38,
39,146
40,141
41,
42,
43,
44,
45,98
46,107
47,154
48,81
49,158
50,
51,82
52,
53,
54,161
55,
56,
57,
58,141
59,71
60,161
61,148
62,95
63,
64,180
65,165
66,70
67,119
68,84
69,127
70,15
71,107
72,79
73,169
74,107
75,73
76,62
77,9
78,
79,
80,
81,6
82,168
83,130
84,8
85,
86,
87,
88,
89,
90,72
91,5
92,111
93,105
94,
95,111
96,
97,
98,
99,44
100,107
101,
102,
103,3
104,
105,
106,
107,
108,
109,
110,
111,
112,
113,
114,
115,166
116,31
117,4
118,
119,79
120,37
121,121
122,161
123,
124,
125,78
126,64
127,
128,2
129,178
130,
131,
132,93
133,
134,
135,
136,86
137,10
138,
139,
140,
141,
142,
143,45
144,
145,
146,
147,
148,47
149,85
150,
